1,Determine how many pixels of padding we need on the input of size 80 by 80 to ensure our filter 31 by 31 gives an output of the same size.,"15. For an image of size $(x, x)$, a padding of size $a$, and a filter of size $(y, y)$ with default stride size of $1$, the output size is $((x+2a) - y)/1 + 1$.  In this case, we have $\frac{(x+2a) - y}{1} + 1 = x$ where $x=80$ and $y=31$.  Solving for $a$, we get $a=15$.","To determine the amount of padding needed to ensure that the output size is the same as the input size, we need to consider the stride and the filter size.

Assuming a stride of 1, the formula for the output size of a convolutional layer is given by:

css
Copy code
output_size = (input_size - filter_size + 2 * padding) / stride + 1
Setting the output size to be equal to the input size (80), we can solve for padding:

css
Copy code
80 = (80 - 31 + 2 * padding) / 1 + 1
80 = (49 + 2 * padding) / 1 + 1
80 = 51 + 2 * padding
29 = 2 * padding
padding = 14.5
Since padding must be an integer, we round up to 15 or down to 14. Both cases work, and either one can be used. The choice between them can be determined by the specific requirements of the problem at hand or personal preference.

So, the answer is either 14 or 15 pixels of padding on the input of size 80 by 80 to ensure the output is the same size.",1,,,
2,"Which of the following are true of convolutional neural networks for image analysis? 
\begin{enumerate}[label=\alph*.]
    \item They are trained using backpropagation. 
    \item They are trained using gradient descent.
    \item They are trained using supervised learning . 
    \item They are trained using unsupervised learning.
\end{enumerate}","a, b, and c.","a) They are trained using backpropagation.
c) They are trained using supervised learning.

Convolutional neural networks (ConvNets or CNNs) are a type of deep neural network commonly used for image analysis tasks such as image classification, object detection, and semantic segmentation. ConvNets are typically trained using supervised learning, where a labeled dataset is used to train the network to perform a specific task. During training, the network uses backpropagation to adjust the weights of the filters in the convolutional layers to minimize the difference between the predicted output and the actual output. The optimization process is typically performed using gradient descent algorithms, which help the network to converge to a solution.",0,,,
3,"Which of the following are true of pooling layers in CNNs?
\begin{enumerate}[label=\alph*.]
    \item They reduce the size of the input to the next layer. 
    \item They increase the number of parameters.
    \item They reduce the number of connections to the next layer. 
    \item They reduce the number of parameters.
\end{enumerate}","a, c, d. \, b is false because pooling neither adds to nor subtracts from parameters.","The correct answers are:

a) They reduce the size of the input to the next layer.
c) They reduce the number of connections to the next layer.
d) They reduce the number of parameters.

Pooling layers in Convolutional Neural Networks (ConvNets or CNNs) are used to reduce the spatial size of the representation, which helps to reduce the number of parameters and computational costs. Pooling layers typically use a simple operation, such as max pooling or average pooling, to summarize the information in a local neighborhood of the input. This summary information is then used as the input to the next layer, which helps to reduce the size of the input and the number of connections to the next layer. This also helps to reduce overfitting by reducing the number of parameters, as well as to provide translation invariance by allowing the network to recognize objects regardless of their location in the image.
",1,,,
4,"Consider the following CNN architecture:

Input: (10, 10, 3)
\begin{enumerate}[label=-]
\item A convolutional layer with 32 5 × 5 filters, stride 1, and padding 2

\item A ReLU activation layer

\item A max pooling layer with size 2 and stride 2

\item A convolutional layer with 64 5 × 5 filters, stride 1, and padding 2

\item A ReLU activation layer

\item A max pooling layer with size 2 and stride 2

\item A fully-connected layer with 128 neurons

\item A ReLU activation layer

\item A dropout layer with drop probability 0.5

\item A fully-connected layer with 10 neurons

\item A softmax activation layer
\end{enumerate}
What is the total number of parameters in this network?","The learnable parameters in this CNN architecture are:
\begin{itemize}
    \item[•]
    $32 \times (5 \times 5 \times 3 + 1) = 2432$ parameters from the first convolutional layer
    \item[•]
    $64 \times (5 \times 5 \times 32 + 1) = 51264$ parameters from the second convolutional layer
    \item[•]
    $128 \times (2 \times 2 \times 64 + 1) = 32896$ parameters from the first fully-connected layer
    \item[•]
    $10 \times (128 + 1) = 1290$ parameters from the second fully-connected layer
\end{itemize}
Note that all the ``$+1$''s account for the bias terms, $(5, 5, 32)$ is the input shape after the 1st max pooling, and $(2, 2, 64)$ is the input shape after the 2nd max pooling.  Adding up these numbers, we get $87882$ learnable parameters in total.  (Alternatively, if you did not account for any bias term, you would get $63306$ learnable parameters in total, which is also accepted as correct answer.)","The total number of parameters in this network can be calculated as follows:

Convolutional layer 1: 32 filters with 5 × 5 kernel size, so there are 32 * (5 * 5 * 3 + 1) = 32 * 26 = 832 parameters.

Convolutional layer 2: 64 filters with 5 × 5 kernel size, so there are 64 * (5 * 5 * 32 + 1) = 64 * 832 = 53248 parameters.

Fully-connected layer 1: 128 neurons, so there are 128 * (7 * 7 * 64 + 1) = 128 * 3136 = 401408 parameters.

Fully-connected layer 2: 10 neurons, so there are 10 * (128 + 1) = 1290 parameters.

The total number of parameters in the network is 832 + 53248 + 401408 + 1290 = 453878 parameters.",0,,,
5,"What is the convolution of filter $K$ with image $X$? %$K = [[0, 1, 0], [1, -4, 1], [0, 1, 0]]$
$$K = \left(\begin{matrix}
0 & 1 & 0\\
1 & -4 & 1\\
0 & 1 & 0
\end{matrix}\right)$$

$$X = \left(\begin{matrix}
1 & 1 & 4 & 4\\
1 & 1 & 4 & 4\\
1 & 1 & 4 & 4\\
1 & 1 & 4 & 4
\end{matrix}\right)$$","[[3, -3], [3, -3]].","The convolution of filter $K$ with image $X$ can be calculated as follows:

We start by placing the filter $K$ at the top left corner of the image $X$.

We then element-wise multiply the values in the filter with the values in the overlapping part of the image.

We then sum up the values obtained from the multiplication, which gives us the value of the output feature map at the corresponding position.

We repeat this process for every position in the image by sliding the filter one step at a time, either vertically or horizontally, until we have covered the entire image.

For example, for the first position in the output feature map, the calculation would be:

$(0 * 1) + (1 * 1) + (0 * 1) + (1 * 1) + (-4 * 1) + (1 * 1) + (0 * 1) + (1 * 1) + (0 * 1) = -2$

The final output feature map would be a 2-D matrix with the same number of rows and columns as the output, which in this case would be:

-2 & -1 & 0 & 1\\
-1 & -2 & -1 & 0\\
0 & -1 & -2 & -1\\
1 & 0 & -1 & -2
\end{matrix}\right)$$
",0,,,
6,"For the flattened image represented by the vector x = [1, 0, 1, 0, 0, 0, 0, 1, 1, 1] and filter k = [-1, 1, -1] what is the convolution of k with x with stride 1 and no padding?","[-2, 1, -1, 0, 0, -1, 0, -1].  Simply apply the rules of 1D convolution.","The convolution of filter $k$ with image $x$ can be calculated as follows:

The convolution starts by placing the filter $k$ at the first position of the image $x$.

Element-wise multiplication is performed between the values in the filter and the values in the overlapping part of the image.

The values obtained from the multiplication are summed up, which gives us the value of the output feature map at the corresponding position.

The filter is then shifted one step to the right, and the process is repeated until the filter has covered all the positions in the image.

For example, for the first position in the output feature map, the calculation would be:

$(-1 * 1) + (1 * 0) + (-1 * 1) = -2$

For the second position, the calculation would be:

$(-1 * 0) + (1 * 1) + (-1 * 0) = 1$

And so on. The final output feature map would be a 1-D vector with the same length as the number of steps taken by the filter, which in this case would be:

$[-2, 1, -2, 0, 0, 0, 0, 1, -1, 0]$",0,,,
7,"What is the result of performing average pooling on the image $X$?% = [[1, 17, 43, 4, 5], [2, 2, 6, 8, 7], [12, 9, 4, 46, 5], [3, 4, 78, 9, 62],[12, 11, 14, 42, 15] 

$$X = \left(\begin{matrix}
1 & 17 & 43 & 4 & 5\\
2 & 2 & 6 & 8 & 7\\
12 & 9 & 4 & 46 & 5\\
3 & 4 & 78 & 9 & 62\\
12 & 11 & 14 & 42 & 15
\end{matrix}\right)$$


with a $2\times2$ kernel, with stride of 2, and padding with values of (1, 1) pixel on the right side and bottom of the image.","[[5.5, 15.25, 3.5], [7, 34.25, 17.25], [6.25, 14.5, 4.5]].  Note that the padded image is X' = [[1, 17, 43, 4, 5, 1], [2, 2, 6, 8, 7, 1], [12, 9, 4, 46, 5, 1], [3, 4, 78, 9, 62, 1],[12, 11, 14, 42, 15, 1], [1, 1, 1, 1, 1, 1]], and the value of each pixel is the sum of the four values of the kernel divided by $4$.","In average pooling, the input image is divided into non-overlapping windows, and the average value of the elements within each window is computed to produce the corresponding element in the output feature map.

For the given image, with a $2\times2$ kernel and stride of 2, the result of performing average pooling on the image would be:

[2
+
2
+
12
+
9
4
43
+
6
+
4
+
78
4
12
+
11
+
3
+
4
4
42
+
8
+
9
+
62
4
]
=
[
7
24
8
33
]
[ 
4
2+2+12+9
​
 
4
12+11+3+4
​
 
​
  
4
43+6+4+78
​
 
4
42+8+9+62
​
 
​
 ]=[ 
7
8
​
  
24
33
​
 ]
Note that padding with values of (1, 1) pixel on the right side and bottom of the image would increase the size of the image, but it does not affect the result of average pooling operation.",0,,,
8,"How many weights are in the max pooling operation of the image $X$ above with a 2x2 kernel, with stride of 2, and padding with a value of 1, 1 pixel on the right side and bottom of the image.",0.  Max pooling layers don't have learnable parameters.,"Max pooling does not have weights, as it is a down-sampling operation that takes the maximum value in a small region (or ""kernel"") of the input. The purpose of max pooling is to reduce the spatial size of the input by taking the maximum value in a given region and discarding the rest, while preserving the important features and reducing the computation required in the next layer.

In this case, the image has a 2x2 kernel, stride of 2, and padding of 1 pixel on the right side and bottom. This means that the max pooling operation will take the maximum value in a 2x2 region of the input, and slide the kernel by 2 pixels each time. The padding will increase the size of the input by adding 1 pixel on the right and bottom, so the spatial size of the input will not change.

The number of values output by the max pooling operation will depend on the size of the input image and the size of the kernel and stride, but the number of weights involved in the operation is 0.",1,,,
9,"Which of the following is the correct filter for detecting horizontal edges?
\begin{enumerate}[label=\alph*.]
    \item[a.]
$$\left(\begin{matrix}
1 & 0 & -1\\
1 & 0 & -1\\
1 & 0 & -1
\end{matrix}\right)$$
    
    \item[b.]
$$\left(\begin{matrix}
1 & 1 & 1\\
0 & 0 & 0\\
-1 & -1 & -1
\end{matrix}\right)$$

    \item[c.]
$$\left(\begin{matrix}
1 & -1 & 1\\
0 & -1 & 0\\
1 & -1 & 1
\end{matrix}\right)$$

    \item[d.]
$$\left(\begin{matrix}
1 & -1 & -1\\
1 & 1 & -1\\
1 & 0 & -1
\end{matrix}\right)$$
\end{enumerate}",b.  Horizontal filters is the best for detecting horizontal edges.,"The correct filter for detecting horizontal edges is b.

The filter shown in b is commonly used for detecting horizontal edges in image processing. This filter is designed to detect changes in intensity or color along the horizontal axis by subtracting the value in one pixel from the value in the pixel directly above it. The result of this subtraction will be high for pixels that represent a horizontal edge, and low for pixels that do not.

The other filters shown in options a, c, and d do not have the same pattern of positive and negative values that is optimized for detecting horizontal edges.",1,,,
10,"Consider one layer of weights in a convolutional neural network processing grayscale images, connecting one layer of units to the next layer of units. Which of the following types of layers has the least parameters?
\begin{enumerate}[label=\alph*.]
    \item[a.] A fully-connected layer from 20 hidden units to 4 output units. 
    \item[b.] A convolutional layer with eight 5 $\times$ 5 filters. 
    \item[c.] A max-pooling layer that reduces a 10 $\times$ 10 image to a 5 $\times$ 5. 
    \item[d.] A convolutional layer with ten 3 $\times$ 3 filters. 
\end{enumerate}","c, because fully-connected layers and convolutional layers with filters have learnable parameters but pooling layers don't.","The correct answer is c. A max-pooling layer does not have any weights and does not introduce any additional parameters to the model. It simply down-samples the input feature map by taking the maximum value over a local region.

A fully-connected layer from 20 hidden units to 4 output units would have 20 * 4 = 80 parameters.

A convolutional layer with eight 5 $\times$ 5 filters would have 8 * 5 * 5 + 8 = 208 parameters.

A convolutional layer with ten 3 $\times$ 3 filters would have 10 * 3 * 3 + 10 = 100 parameters.

So, among the options, the max-pooling layer has the least parameters.",1,,,
